review_id,movie_title,review_text,rating,review_date,reviewer,style,genre,review_length,word_count,sentiment_score,would_recommend,category,author,publish_date,views,review_month
1,Crimson Pulse,"I just watched 'Crimson Pulse' and honestly, it was pretty good! Not perfect, but definitely worth a watch.",3,2022-04-05,Jordan Frost,Casual viewer,Drama,107,18,0.3,False,World,Alex Green,2023-03-24,2306,2022-04
2,Galactic Run,"I just watched 'Galactic Run' and honestly, it was pretty good! Not perfect, but definitely worth a watch.",8,2024-12-15,Nina Reeves,Casual viewer,Action,106,18,0.8,True,Politics,John Doe,2023-08-09,1882,2024-12
3,The Last Horizon,'The Last Horizon' delivers a polished and thoughtfully constructed narrative. Its thematic depth is supported by confident direction and a compelling emotional core.,5,2024-04-06,Nina Rivers,Professional critic,Action,166,23,0.5,False,Business,Alex Green,2023-11-18,1716,2024-04
4,Shadows of Time,"'Shadows of Time' transcends the pedestrian constraints of mainstream cinema, offering instead a meditation on the fragility of human consciousness.",10,2024-05-14,Alex Sawyer,Pretentious film critic,Sci-Fi,148,20,1.0,True,Business,Maria Lopez,2023-06-19,1279,2024-05
5,Cyber Alley,'Cyber Alley' delivers a polished and thoughtfully constructed narrative. Its thematic depth is supported by confident direction and a compelling emotional core.,8,2021-12-06,Sam Grey,Professional critic,Fantasy,161,22,0.8,True,Business,Alex Green,2023-11-19,4691,2021-12
6,Cyber Alley,"Okay sooo 'Cyber Alley' was kinda awesome?? Like, not even kidding, I didn’t check my phone once.",2,2021-01-07,Oscar Kensington,Teen reviewer,Romance,97,17,0.2,False,Tech,Maria Lopez,2023-04-25,726,2021-01
7,Lost Frequencies,Watching 'Lost Frequencies' felt like staring into the soul of the universe as it begged for redemption.,8,2022-06-02,Alex Turner,Overly dramatic,Drama,104,17,0.8,True,Business,Maria Lopez,2023-12-15,4171,2022-06
8,Neon Nights,Watching 'Neon Nights' felt like staring into the soul of the universe as it begged for redemption.,7,2023-05-07,Ethan Grey,Overly dramatic,Action,99,17,0.7,True,Sports,John Doe,2023-12-01,898,2023-05
9,Neon Nights,"Okay sooo 'Neon Nights' was kinda awesome?? Like, not even kidding, I didn’t check my phone once.",7,2021-08-16,Liam Sawyer,Teen reviewer,Comedy,97,17,0.7,True,World,Jane Smith,2023-08-18,2238,2021-08
9,Neon Nights,"Okay sooo 'Neon Nights' was kinda awesome?? Like, not even kidding, I didn’t check my phone once.",7,2021-08-16,Liam Sawyer,Teen reviewer,Comedy,97,17,0.7,True,Politics,Jane Smith,2023-08-08,2714,2021-08
10,Crimson Pulse,"'Crimson Pulse' transcends the pedestrian constraints of mainstream cinema, offering instead a meditation on the fragility of human consciousness.",6,2023-04-24,Liam Frost,Pretentious film critic,Comedy,146,19,0.6,False,Politics,Jane Smith,2023-09-04,1973,2023-04
11,Cyber Alley,Watching 'Cyber Alley' felt like staring into the soul of the universe as it begged for redemption.,6,2023-10-29,Paula Harper,Overly dramatic,Thriller,99,17,0.6,False,World,John Doe,2023-04-11,4820,2023-10
12,Shadows of Time,"Okay sooo 'Shadows of Time' was kinda awesome?? Like, not even kidding, I didn’t check my phone once.",7,2022-12-28,Alex Frost,Teen reviewer,Sci-Fi,101,18,0.7,True,Sports,John Doe,2023-08-10,4617,2022-12
13,Lost Frequencies,"I just watched 'Lost Frequencies' and honestly, it was pretty good! Not perfect, but definitely worth a watch.",8,2021-08-26,Maya Santos,Casual viewer,Thriller,110,18,0.8,True,Tech,Maria Lopez,2023-06-28,537,2021-08
14,Cyber Alley,'Cyber Alley' delivers a polished and thoughtfully constructed narrative. Its thematic depth is supported by confident direction and a compelling emotional core.,4,2024-04-26,Rachel Turner,Professional critic,Drama,161,22,0.4,False,Politics,Maria Lopez,2023-06-24,3185,2024-04
15,Broken Memories,"'Broken Memories' transcends the pedestrian constraints of mainstream cinema, offering instead a meditation on the fragility of human consciousness.",3,2024-08-04,Victor Harper,Pretentious film critic,Romance,148,19,0.3,False,Tech,Jane Smith,2023-04-04,4983,2024-08
16,Broken Memories,'Broken Memories' delivers a polished and thoughtfully constructed narrative. Its thematic depth is supported by confident direction and a compelling emotional core.,7,2023-04-06,Victor Lowell,Professional critic,Fantasy,165,22,0.7,True,Tech,Maria Lopez,2023-04-25,3436,2023-04
17,Crimson Pulse,"Okay sooo 'Crimson Pulse' was kinda awesome?? Like, not even kidding, I didn’t check my phone once.",10,2023-06-07,Sofia Bennett,Teen reviewer,Fantasy,99,17,1.0,True,Politics,John Doe,2023-06-11,1845,2023-06
18,Silent Echoes,'Silent Echoes' delivers a polished and thoughtfully constructed narrative. Its thematic depth is supported by confident direction and a compelling emotional core.,3,2021-09-30,Logan Kensington,Professional critic,Drama,163,22,0.3,False,Tech,Maria Lopez,2023-09-26,2528,2021-09
19,Crimson Pulse,"'Crimson Pulse' transcends the pedestrian constraints of mainstream cinema, offering instead a meditation on the fragility of human consciousness.",5,2021-06-29,Irene Holloway,Pretentious film critic,Fantasy,146,19,0.5,False,World,John Doe,2023-08-13,200,2021-06
20,Neon Nights,"Okay sooo 'Neon Nights' was kinda awesome?? Like, not even kidding, I didn’t check my phone once.",1,2022-11-13,Logan Grey,Teen reviewer,Sci-Fi,97,17,0.1,False,Business,Jane Smith,2023-08-22,1509,2022-11
21,Neon Nights,"I just watched 'Neon Nights' and honestly, it was pretty good! Not perfect, but definitely worth a watch.",7,2025-01-21,Alex Gibson,Casual viewer,Romance,105,18,0.7,True,Politics,Alex Green,2023-12-03,865,2025-01
22,Cyber Alley,"'Cyber Alley' is the cinematic equivalent of eating cold fries—still enjoyable, but you know it could've been better.",2,2024-12-06,Wendy Holloway,Comedy/snarky,Fantasy,117,18,0.2,False,Business,Alex Green,2023-03-08,4426,2024-12
23,Broken Memories,"'Broken Memories' transcends the pedestrian constraints of mainstream cinema, offering instead a meditation on the fragility of human consciousness.",7,2021-06-27,Sam Santos,Pretentious film critic,Drama,148,19,0.7,True,Politics,John Doe,2023-05-06,4700,2021-06
