review_id,movie_title,review_text,rating,review_date,reviewer,style,genre,review_length,word_count,sentiment_score,would_recommend
3,thelasthorizon,'thelasthorizon'deliversapolishedandthoughtfullyconstructednarrative.itsthematicdepthissupportedbyconfidentdirectionandacompellingemotionalcore.,5.0,2024-04-06,ninarivers,professionalcritic,action,166,23,0.5,False
4,shadowsoftime,"'shadowsoftime'transcendsthepedestrianconstraintsofmainstreamcinema,offeringinsteadameditationonthefragilityofhumanconsciousness.",10.0,2024-05-14,alexsawyer,pretentiousfilmcritic,sci-fi,148,20,1.0,True
5,cyberalley,'cyberalley'deliversapolishedandthoughtfullyconstructednarrative.itsthematicdepthissupportedbyconfidentdirectionandacompellingemotionalcore.,8.0,2021-12-06,samgrey,professionalcritic,fantasy,161,22,0.8,True
6,cyberalley,"okaysooo'cyberalley'waskindaawesome??like,notevenkidding,ididn’tcheckmyphoneonce.",2.0,2021-01-07,oscarkensington,teenreviewer,romance,97,17,0.2,False
7,lostfrequencies,watching'lostfrequencies'feltlikestaringintothesouloftheuniverseasitbeggedforredemption.,8.0,2022-06-02,alexturner,overlydramatic,drama,104,17,0.8,True
8,neonnights,watching'neonnights'feltlikestaringintothesouloftheuniverseasitbeggedforredemption.,7.0,2023-05-07,ethangrey,overlydramatic,action,99,17,0.7,True
9,neonnights,"okaysooo'neonnights'waskindaawesome??like,notevenkidding,ididn’tcheckmyphoneonce.",7.0,2021-08-16,liamsawyer,teenreviewer,comedy,97,17,0.7,True
10,crimsonpulse,"'crimsonpulse'transcendsthepedestrianconstraintsofmainstreamcinema,offeringinsteadameditationonthefragilityofhumanconsciousness.",6.0,2023-04-24,liamfrost,pretentiousfilmcritic,comedy,146,19,0.6,False
11,cyberalley,watching'cyberalley'feltlikestaringintothesouloftheuniverseasitbeggedforredemption.,6.0,2023-10-29,paulaharper,overlydramatic,thriller,99,17,0.6,False
12,shadowsoftime,"okaysooo'shadowsoftime'waskindaawesome??like,notevenkidding,ididn’tcheckmyphoneonce.",7.0,2022-12-28,alexfrost,teenreviewer,sci-fi,101,18,0.7,True
13,lostfrequencies,"ijustwatched'lostfrequencies'andhonestly,itwasprettygood!notperfect,butdefinitelyworthawatch.",8.0,2021-08-26,mayasantos,casualviewer,thriller,110,18,0.8,True
14,cyberalley,'cyberalley'deliversapolishedandthoughtfullyconstructednarrative.itsthematicdepthissupportedbyconfidentdirectionandacompellingemotionalcore.,4.0,2024-04-26,rachelturner,professionalcritic,drama,161,22,0.4,False
15,brokenmemories,"'brokenmemories'transcendsthepedestrianconstraintsofmainstreamcinema,offeringinsteadameditationonthefragilityofhumanconsciousness.",3.0,2024-08-04,victorharper,pretentiousfilmcritic,romance,148,19,0.3,False
16,brokenmemories,'brokenmemories'deliversapolishedandthoughtfullyconstructednarrative.itsthematicdepthissupportedbyconfidentdirectionandacompellingemotionalcore.,7.0,2023-04-06,victorlowell,professionalcritic,fantasy,165,22,0.7,True
